                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0187,                 1.3502,                 1.3703,                0.55261,                0.55727,                 0.5665,                0.20183,                 2.2675,                 1.4658,                 1.4942,             0.00049529,             0.00049529,             0.00049529
                     35,                 2.0013,                 1.3194,                 1.3933,                0.52879,                0.56195,                0.53916,                0.18457,                 2.3229,                 1.4714,                 1.5275,               0.000467,               0.000467,               0.000467
                     36,                 1.9957,                 1.3102,                 1.3925,                0.52005,                0.55556,                0.53435,                0.18611,                 2.3094,                 1.4926,                 1.5173,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.9824,                 1.2991,                 1.3721,                0.52455,                0.56169,                 0.5351,                0.17623,                 2.3633,                 1.4935,                 1.5561,             0.00041041,             0.00041041,             0.00041041
                     38,                 2.0007,                  1.326,                 1.3875,                0.54979,                0.56499,                0.55156,                0.19642,                 2.2731,                 1.4572,                 1.5055,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.9637,                 1.2914,                  1.369,                0.53801,                0.55805,                0.54418,                 0.1939,                 2.3188,                 1.4359,                 1.5345,             0.00035382,             0.00035382,             0.00035382
                     40,                  1.929,                 1.2508,                 1.3542,                0.58963,                0.55728,                0.56138,                0.19373,                 2.3488,                 1.4111,                 1.5467,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.9611,                 1.3224,                  1.433,                0.57772,                0.58871,                0.58207,                0.21164,                 2.2778,                  1.413,                 1.4961,             0.00029723,             0.00029723,             0.00029723
                     42,                   1.94,                 1.2757,                 1.4057,                0.57517,                0.58516,                0.57039,                0.20779,                 2.2828,                 1.4005,                  1.504,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.9199,                 1.2698,                 1.3945,                0.55732,                0.57881,                0.56779,                0.20047,                 2.3112,                 1.4166,                  1.531,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.9093,                 1.2238,                 1.3987,                0.56913,                0.58638,                0.57481,                0.20753,                 2.2967,                 1.3979,                 1.5235,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.9033,                 1.2274,                 1.4099,                0.55555,                0.58057,                0.55856,                0.19552,                 2.3302,                 1.4156,                 1.5388,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.8656,                 1.2016,                 1.3756,                0.53522,                0.58037,                0.55344,                0.19466,                 2.3314,                 1.4155,                 1.5446,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.8629,                 1.1837,                 1.3541,                0.55812,                0.59529,                0.55656,                0.19813,                 2.3252,                 1.4024,                 1.5417,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.8436,                 1.1768,                 1.3747,                0.54599,                0.58821,                0.55688,                0.19827,                 2.3245,                 1.4063,                 1.5428,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.8247,                 1.1671,                 1.3698,                0.54546,                0.58832,                0.55417,                0.19943,                 2.3182,                 1.4048,                  1.541,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.8117,                 1.1482,                  1.362,                0.54919,                0.59819,                0.55225,                0.19311,                 2.3401,                 1.4138,                 1.5578,             4.2584e-05,             4.2584e-05,             4.2584e-05
